Player,Action,Time
11,SUB_IN,0:00
23,SUB_IN,0:00
75,SUB_IN,0:00
33,SUB_IN,0:00
24,SUB_IN,0:00
11,TO,0:14
23,2PT - Top of the Key Mid-Range,1:05
11,3PT - Left Corner 3,1:20
11,3PT - Left Wing 3,2:34
11,TO,3:23
23,MissFT,4:05
23,MissFT,4:14
11,DREB,4:42
33,3PT - Right Wing 3,4:56
24,DREB,5:17
24,TO,5:21
11,DREB,5:35
23,Miss2 - In the Paint (Non-RA),5:54
11,DREB,6:13
